Geographic Area,Job No,Job Description,Phase No,Phase Description,Cost Code,Cost Code Description,Source,Date,Class,Category,Dollars,Hours/Units,Comment,Quantity, % ,Type
WY - Wyoming,="200079.02","Kemmerer Electrical","         1","NO PHASE","      2600","Electrical Install","A/P",05/17/2020,"MAT"," ",11.65,"0","10327 Electrical Wholesale ID",0,0,""
WY - Wyoming,="200079.02","Kemmerer Electrical","         1","NO PHASE","      2600","Electrical Install","A/P",05/17/2020,"MAT"," ",20.03,"0","10327 Electrical Wholesale ID",0,0,""
WY - Wyoming,="200079.02","Kemmerer Electrical","         1","NO PHASE","      2600","Electrical Install","A/P",05/19/2020,"MAT"," ",0.73,"0","10327 Electrical Wholesale ID",0,0,""
WY - Wyoming,="200079.02","Kemmerer Electrical","         1","NO PHASE","      2600","Electrical Install","A/P",05/26/2020,"MAT"," ",46.42,"0","10327 Electrical Wholesale ID",0,0,""
WY - Wyoming,="200079.02","Kemmerer Electrical","         1","NO PHASE","      2600","Electrical Install","A/P",05/26/2020,"MAT"," ",55.61,"0","10327 Electrical Wholesale ID",0,0,""
WY - Wyoming,="200079.02","Kemmerer Electrical","         1","NO PHASE","      2600","Electrical Install","A/P",05/26/2020,"MAT"," ",64.21,"0","10327 Electrical Wholesale ID",0,0,""
WY - Wyoming,="200079.02","Kemmerer Electrical","         1","NO PHASE","      2600","Electrical Install","A/P",05/26/2020,"MAT"," ",111.22,"0","10327 Electrical Wholesale ID",0,0,""
WY - Wyoming,="200079.02","Kemmerer Electrical","         1","NO PHASE","      2600","Electrical Install","A/P",05/26/2020,"MAT"," ",174.67,"0","10327 Electrical Wholesale ID",0,0,""
WY - Wyoming,="200079.02","Kemmerer Electrical","         1","NO PHASE","      2600","Electrical Install","A/P",05/26/2020,"MAT"," ",321.15,"0","10327 Electrical Wholesale ID",0,0,""
WY - Wyoming,="200079.02","Kemmerer Electrical","         1","NO PHASE","      2600","Electrical Install","A/P",05/27/2020,"MAT"," ",61.42,"0","10327 Electrical Wholesale ID",0,0,""
WY - Wyoming,="200154.01","Ladd Remodel Mechanical","         1","NO PHASE","       195","Fuel/Parking/Mileage","A/P",05/04/2020,"OTH"," ",27.78,"0","11427 WEX Enterprise Fleet Mngt",0,0,""
WY - Wyoming,="200154.01","Ladd Remodel Mechanical","         1","NO PHASE","      2370","Radiant","A/P",05/17/2020,"MAT"," ",13.42,"0","10363 Ferguson Enterprises Wyoming",0,0,""
WY - Wyoming,="200154.01","Ladd Remodel Mechanical","         1","NO PHASE","      2370","Radiant","A/P",05/17/2020,"MAT"," ",82.21,"0","10363 Ferguson Enterprises Wyoming",0,0,""
WY - Wyoming,="200154.03","Ladd Remodel Plumbing","         1","NO PHASE","       195","Fuel/Parking/Mileage","A/P",05/04/2020,"OTH"," ",59.49,"0","11427 WEX Enterprise Fleet Mngt",0,0,""
WY - Wyoming,="200154.03","Ladd Remodel Plumbing","         1","NO PHASE","       195","Fuel/Parking/Mileage","A/P",05/12/2020,"OTH"," ",19.64,"0","11427 WEX Enterprise Fleet Mngt",0,0,""
WY - Wyoming,="200155.04","New Fork Ranch Power System","         1","NO PHASE","      2905","Solar Ground Install","A/P",05/22/2020,"MAT"," ",4015.92,"0","10939 Soligent LLC",0,0,""
WY - Wyoming,="200155.04","New Fork Ranch Power System","         1","NO PHASE","      2905","Solar Ground Install","G/L",06/01/2020,"MAT"," ",2600.00,"0","2 x SB 5.0",0,0,""
WY - Wyoming,="200155.04","New Fork Ranch Power System","         1","NO PHASE","      2905","Solar Ground Install","A/P",06/01/2020,"EQ"," ",21788.26,"0","11597 MT Solar",0,0,""
WY - Wyoming,="200155.04","New Fork Ranch Power System","         1","NO PHASE","      2905","Solar Ground Install","A/P",05/20/2020,"OTH"," ",745.00,"0","11588 MT Solar LLC",0,0,""
WY - Wyoming,="200155.04","New Fork Ranch Power System","         1","NO PHASE","      2950","Tesla Powerwall Install","G/L",06/01/2020,"MAT"," ",6500.00,"0","1 Powerwall",0,0,""
